Station,Date,Range,HH,HHDate,LL,LLDate,Tide Stage,Tide Stage Fitted
8656483,2014-03-31T04:00:00,4.491,3.727,2014-03-30 11:30:00.0,-0.764,2014-03-30 17:54:00.0,4200,4200
8656483,2014-04-07T04:00:00,2.612,3.481,2014-04-06 05:12:00.0,0.869,2014-04-06 11:42:00.0,2200,2200
8656483,2014-04-14T04:00:00,3.609,3.255,2014-04-13 23:54:00.0,-0.354,2014-04-13 17:12:00.0,4200,4200
8656483,2014-04-21T04:00:00,4.2219999999999995,4.593,2014-04-20 04:30:00.0,0.371,2014-04-20 22:30:00.0,2300,2300
8656483,2014-04-28T04:00:00,4.298,4.501,2014-04-27 23:30:00.0,0.203,2014-04-27 16:54:00.0,4200,4200
8656483,2014-05-05T04:00:00,3.205,3.999,2014-05-04 04:00:00.0,0.794,2014-05-04 10:24:00.0,2300,2300
8656483,2014-05-12T04:00:00,3.379,3.796,2014-05-11 22:36:00.0,0.417,2014-05-11 16:12:00.0,4300,4300
8656483,2014-05-19T04:00:00,3.907,3.868,2014-05-18 04:00:00.0,-0.039,2014-05-18 21:24:00.0,4000,4000
8656483,2014-05-27T04:00:00,4.141,4.249,2014-05-26 23:12:00.0,0.108,2014-05-26 16:42:00.0,4300,4300
8656483,2014-05-28T04:00:00,4.091,4.081,2014-05-28 00:12:00.0,-0.01,2014-05-27 17:12:00.0,4200,4200
8656483,2014-05-29T04:00:00,4.105,3.98,2014-05-29 01:00:00.0,-0.125,2014-05-28 17:36:00.0,4100,4200
8656483,2014-06-02T04:00:00,3.0679999999999996,3.78,2014-06-01 04:00:00.0,0.712,2014-06-01 20:36:00.0,4000,4000
8656483,2014-06-09T04:00:00,3.173,3.406,2014-06-08 20:54:00.0,0.233,2014-06-08 14:12:00.0,2000,2000
8656483,2014-06-10T04:00:00,3.498,3.629,2014-06-09 21:36:00.0,0.131,2014-06-09 15:00:00.0,4300,2000
8656483,2014-06-16T04:00:00,3.628,3.766,2014-06-15 14:18:00.0,0.138,2014-06-15 20:42:00.0,4000,4000
8656483,2014-06-23T04:00:00,3.7270000000000003,3.95,2014-06-22 21:06:00.0,0.223,2014-06-22 14:42:00.0,2000,2000
8656483,2014-06-30T04:00:00,3.356,4.042,2014-06-30 02:18:00.0,0.686,2014-06-29 19:42:00.0,4100,4100
8656483,2014-07-07T04:00:00,2.9,3.681,2014-07-06 19:06:00.0,0.781,2014-07-06 12:48:00.0,2100,2100
8656483,2014-07-14T04:00:00,4.843,4.715,2014-07-14 01:42:00.0,-0.128,2014-07-13 19:00:00.0,4100,4100
8656483,2014-07-21T04:00:00,3.543,3.825,2014-07-20 19:30:00.0,0.282,2014-07-20 13:36:00.0,2100,2100
8656483,2014-07-29T04:00:00,3.474,3.986,2014-07-29 02:24:00.0,0.512,2014-07-28 19:06:00.0,4100,4100
8656483,2014-08-04T04:00:00,3.212,3.54,2014-08-03 18:06:00.0,0.328,2014-08-03 11:12:00.0,2300,2200
8656483,2014-08-05T04:00:00,3.337,3.681,2014-08-04 18:42:00.0,0.344,2014-08-04 12:42:00.0,2200,2200
8656483,2014-08-11T04:00:00,4.754,4.688,2014-08-11 00:30:00.0,-0.066,2014-08-10 18:18:00.0,4200,4200
8656483,2014-08-18T04:00:00,3.314,3.816,2014-08-17 18:30:00.0,0.502,2014-08-17 11:54:00.0,2200,2200
8656483,2014-08-26T04:00:00,3.248,4.665,2014-08-26 00:48:00.0,1.417,2014-08-25 06:54:00.0,4100,4200
8656483,2014-09-02T04:00:00,3.097,3.858,2014-09-01 17:24:00.0,0.761,2014-09-01 11:00:00.0,2300,2300
8656483,2014-09-08T04:00:00,4.469,4.613,2014-09-07 23:24:00.0,0.144,2014-09-07 16:54:00.0,4300,4300
8656483,2014-09-15T04:00:00,3.6060000000000003,4.623,2014-09-14 17:06:00.0,1.017,2014-09-14 10:36:00.0,2300,2300
8656483,2014-09-22T04:00:00,2.9399999999999995,4.334,2014-09-21 22:54:00.0,1.394,2014-09-21 16:54:00.0,4300,4300
8656483,2014-09-29T04:00:00,3.1819999999999995,4.475,2014-09-28 15:24:00.0,1.293,2014-09-28 08:42:00.0,4000,4000
8656483,2014-10-13T04:00:00,3.96,4.167,2014-10-12 15:42:00.0,0.207,2014-10-12 09:18:00.0,4000,4000
8656483,2014-10-27T04:00:00,3.6,4.423,2014-10-26 14:06:00.0,0.823,2014-10-26 07:54:00.0,4100,4100
8656483,2014-11-03T05:00:00,3.642,4.383,2014-11-02 20:54:00.0,0.741,2014-11-02 14:48:00.0,2100,2100
8656483,2014-12-08T05:00:00,4.095,3.921,2014-12-07 13:24:00.0,-0.174,2014-12-07 06:36:00.0,4200,4200
8656483,2015-01-28T05:00:00,3.4219999999999997,4.026,2015-01-27 06:06:00.0,0.604,2015-01-28 00:36:00.0,2200,2200
8656483,2015-02-16T05:00:00,3.54,3.051,2015-02-15 09:54:00.0,-0.489,2015-02-16 03:36:00.0,2000,2000
